Actual,Base_Prediction,Risk_Factor,Risk_Adjusted_Prediction,Current_Price,Rolling_Avg_Price
0.291741,0.2976458884577528,1.05,0.31252818288064044,7949.5,8492.433333333334
0.294658,0.29320017441304674,1.0,0.29320017441304674,8820.7,8492.433333333334
0.297605,0.2926369804333613,1.0,0.2926369804333613,8707.1,8492.433333333334
0.300581,0.2966725972566083,1.0,0.2966725972566083,8416.7,8648.166666666666
0.303586,0.3001000425132962,1.05,0.315105044638961,7633.8,8252.533333333335
0.306622,0.303387818575331,1.0,0.303387818575331,8075.8,8042.100000000001
0.309688,0.30640045161678375,1.0,0.30640045161678375,8252.5,7987.366666666666
0.312785,0.30911142057670626,1.0,0.30911142057670626,8378.8,8235.699999999999
0.315913,0.3124800998396961,0.95,0.2968560948477113,9590.9,8740.733333333332
0.319072,0.3159693244129376,1.0,0.3159693244129376,8795.5,8921.733333333332
0.322263,0.3195883618942721,1.05,0.3355677799889857,8505.0,8963.800000000001
0.325486,0.3227900013398667,1.0,0.3227900013398667,8593.4,8631.300000000001
0.275971,0.3126805552970958,1.0,0.3126805552970958,9060.6,8719.666666666666
0.27873,0.2955432289037465,1.0,0.2955432289037465,9035.4,8896.466666666667
0.281518,0.28746911435017486,1.0,0.28746911435017486,9048.0,9048.0
0.284333,0.2895334332718069,1.0,0.2895334332718069,8820.7,8968.033333333333
0.287176,0.29265564810608774,1.0,0.29265564810608774,8984.9,8951.199999999999
0.290048,0.2959190898412745,1.0,0.2959190898412745,8366.2,8723.933333333332
0.292949,0.29810819061598154,1.0,0.29810819061598154,8063.1,8471.4
0.295878,0.30086327231901,1.0,0.30086327231901,7936.9,8122.066666666667
0.298837,0.3036819534169438,1.0,0.3036819534169438,8164.1,8054.7
0.301825,0.3062246054617522,1.0,0.3062246054617522,7962.1,8021.033333333333
0.304843,0.3086018068077604,1.0,0.3086018068077604,8159.1,8095.100000000001
0.307892,0.3109252876993166,1.0,0.3109252876993166,8075.8,8065.666666666667
0.299625,0.30540121938962755,1.0,0.30540121938962755,8234.9,8156.600000000001
0.302622,0.30349548245841457,1.0,0.30349548245841457,8356.1,8222.266666666668
0.305648,0.3029241808781705,1.0,0.3029241808781705,8151.5,8247.5
0.308704,0.3057044206141308,1.0,0.3057044206141308,8272.7,8260.1
0.311791,0.3077457270507478,1.0,0.3077457270507478,7757.6,8060.600000000001
0.314909,0.30967875536857703,1.0,0.30967875536857703,7992.4,8007.566666666667
0.318058,0.3129067855026769,1.0,0.3129067855026769,8212.1,7987.366666666666
0.321239,0.31642982818251086,1.0,0.31642982818251086,8386.4,8196.966666666667
0.324451,0.31950196140200254,1.0,0.31950196140200254,8265.1,8287.866666666667
0.327696,0.32202295865213365,1.0,0.32202295865213365,8075.8,8242.433333333332
0.330973,0.3249187803363496,1.0,0.3249187803363496,7875.0,8071.966666666667
0.334283,0.3283379831240261,1.0,0.3283379831240261,8181.8,8044.2
0.283856,0.31791987342975436,1.0,0.31791987342975436,8136.4,8064.400000000001
0.286694,0.3001236381926681,1.0,0.3001236381926681,8096.6,8138.266666666667
0.289561,0.29141399232780985,1.0,0.29141399232780985,8187.5,8140.166666666667
0.292457,0.29360287811805436,1.0,0.29360287811805436,8460.2,8248.1
0.295381,0.29620097300687115,1.0,0.29620097300687115,8517.0,8388.233333333335
0.298335,0.29892815546893425,1.0,0.29892815546893425,8483.0,8486.733333333335
0.301318,0.30137118831042,1.0,0.30137118831042,8295.5,8431.833333333334
0.304332,0.30412332216012894,1.0,0.30412332216012894,8193.2,8323.9
0.307375,0.30727028718347094,1.0,0.30727028718347094,8136.4,8208.366666666667
0.310449,0.3103923878109611,1.0,0.3103923878109611,8238.6,8189.400000000001
0.313553,0.3136205419889643,1.0,0.3136205419889643,8642.0,8339.0
0.316689,0.31663416320375914,1.0,0.31663416320375914,8545.5,8475.366666666667
0.291741,0.30718714009650727,1.05,0.32254649710133265,7846.6,8344.699999999999
0.294658,0.298776112902388,1.0,0.298776112902388,8113.6,8168.566666666667
0.297605,0.2952775746881098,1.0,0.2952775746881098,7738.6,7899.600000000001
0.300581,0.29793945700037433,1.05,0.31283642985039306,7318.2,7723.466666666667
0.303586,0.30113821772173366,1.0,0.30113821772173366,6982.9,7346.566666666667
0.306622,0.30406199232878506,1.0,0.30406199232878506,7335.2,7212.099999999999
0.309688,0.3071578205464722,1.0,0.3071578205464722,7343.4,7220.5
0.312785,0.31018429906028583,1.0,0.31018429906028583,7299.2,7325.933333333333
0.315913,0.3102205063795673,1.0,0.3102205063795673,7078.3,7240.3
0.319072,0.3132114502358477,1.0,0.3132114502358477,6928.0,7101.833333333333
0.322263,0.3188653037799575,1.0,0.3188653037799575,6751.3,6919.2
0.325486,0.3218132113290328,1.05,0.33790387189548443,6300.5,6659.933333333333
