Month,Forecasted_Demand,Starting_Inventory,Ending_Inventory,Reorder_Triggered,Order_Quantity,Stockout
1,0.321736187884124,25.334148264532097,25.012412076647973,False,0,0
2,0.3244336671623957,25.012412076647973,24.687978409485577,False,0,0
3,0.3257795758771118,24.687978409485577,24.362198833608467,False,0,0
4,0.3224659143570993,24.362198833608467,24.039732919251367,False,0,0
5,0.32271600408090867,24.039732919251367,23.717016915170458,False,0,0
6,0.319359103506571,23.717016915170458,23.397657811663887,False,0,0
7,0.3264797343735297,23.397657811663887,23.07117807729036,False,0,0
8,0.31900176170329175,23.07117807729036,22.752176315587068,False,0,0
9,0.3204092499678373,22.752176315587068,22.43176706561923,False,0,0
10,0.3215915937241157,22.43176706561923,22.110175471895115,False,0,0
11,0.31791516274055526,22.110175471895115,21.79226030915456,False,0,0
12,0.32442347897619517,21.79226030915456,21.467836830178364,False,0,0
